Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_14_0025.c3d,Event5,402.0,469.0,406.0,472.0,110.0,107.0,67.0,66.0,43.0,41.0
TF_14_0025.c3d,Event6,459.0,520.0,462.0,523.0,106.0,106.0,61.0,61.0,45.0,45.0
TF_14_0025.c3d,Event7,512.0,575.0,513.0,577.0,104.0,104.0,63.0,64.0,41.0,40.0
TF_14_0025.c3d,Event8,565.0,624.0,568.0,628.0,103.0,103.0,59.0,60.0,44.0,43.0
TF_15_0025.c3d,Event4,424.0,499.0,425.0,500.0,121.0,125.0,75.0,75.0,46.0,50.0
TF_15_0025.c3d,Event5,486.0,559.0,495.0,567.0,120.0,112.0,73.0,72.0,47.0,40.0
TF_15_0025.c3d,Event6,545.0,618.0,550.0,616.0,114.0,110.0,73.0,66.0,41.0,44.0
TF_15_0025.c3d,Event7,606.0,670.0,607.0,678.0,110.0,109.0,64.0,71.0,46.0,38.0
TF_15_0026.c3d,Event5,512.0,590.0,514.0,599.0,128.0,127.0,78.0,85.0,50.0,42.0
TF_15_0026.c3d,Event6,579.0,658.0,579.0,647.0,121.0,121.0,79.0,68.0,42.0,53.0
TF_15_0026.c3d,Event7,640.0,708.0,641.0,716.0,116.0,115.0,68.0,75.0,48.0,40.0
TF_15_0027.c3d,Event5,507.0,576.0,507.0,586.0,123.0,124.0,69.0,79.0,54.0,45.0
TF_15_0027.c3d,Event6,567.0,646.0,567.0,651.0,122.0,123.0,79.0,84.0,43.0,39.0
TF_16_0028.c3d,Event2,301.0,348.0,316.0,,94.0,90.0,47.0,,47.0,
TF_16_0028.c3d,Event3,346.0,401.0,360.0,411.0,101.0,98.0,55.0,51.0,46.0,47.0
TF_16_0028.c3d,Event4,395.0,458.0,406.0,475.0,109.0,107.0,63.0,69.0,46.0,38.0
TF_16_0028.c3d,Event5,447.0,515.0,458.0,522.0,113.0,104.0,68.0,64.0,45.0,40.0
TF_16_0029.c3d,Event2,284.0,332.0,294.0,347.0,91.0,88.0,48.0,53.0,43.0,35.0
