Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_05_0011.c3d,Event6,475.0,550.0,477.0,553.0,113.0,114.0,75.0,76.0,38.0,38.0
TF_05_0011.c3d,Event7,533.0,,535.0,,,,,,,
TF_05_0011.c3d,Event8,588.0,,591.0,,,,,,,
TF_05_0012.c3d,Event1,119.0,193.0,122.0,201.0,115.0,115.0,74.0,79.0,41.0,36.0
TF_05_0012.c3d,Event2,178.0,251.0,179.0,262.0,116.0,117.0,73.0,83.0,43.0,34.0
TF_05_0012.c3d,Event3,234.0,308.0,237.0,317.0,116.0,114.0,74.0,80.0,42.0,34.0
TF_05_0012.c3d,Event4,294.0,368.0,296.0,369.0,113.0,115.0,74.0,73.0,39.0,42.0
TF_05_0012.c3d,Event5,350.0,423.0,351.0,429.0,117.0,118.0,73.0,78.0,44.0,40.0
TF_05_0012.c3d,Event6,407.0,482.0,411.0,486.0,116.0,114.0,75.0,75.0,41.0,39.0
TF_05_0012.c3d,Event7,467.0,538.0,469.0,546.0,114.0,114.0,71.0,77.0,43.0,37.0
TF_05_0012.c3d,Event8,523.0,597.0,525.0,601.0,114.0,114.0,74.0,76.0,40.0,38.0
TF_05_0012.c3d,Event9,581.0,,583.0,,,,,,,
TF_05_0012.c3d,Event10,637.0,,639.0,,,,,,,
TF_06_0013.c3d,Event1,122.0,201.0,125.0,202.0,124.0,121.0,79.0,77.0,45.0,44.0
TF_06_0013.c3d,Event2,185.0,263.0,185.0,269.0,122.0,123.0,78.0,84.0,44.0,39.0
TF_06_0013.c3d,Event3,246.0,322.0,246.0,327.0,121.0,121.0,76.0,81.0,45.0,40.0
TF_06_0013.c3d,Event4,307.0,382.0,308.0,385.0,119.0,118.0,75.0,77.0,44.0,41.0
TF_06_0013.c3d,Event5,367.0,441.0,367.0,444.0,118.0,119.0,74.0,77.0,44.0,42.0
TF_06_0013.c3d,Event6,426.0,500.0,426.0,506.0,115.0,117.0,74.0,80.0,41.0,37.0
TF_06_0013.c3d,Event7,485.0,556.0,486.0,563.0,114.0,114.0,71.0,77.0,43.0,37.0
TF_06_0013.c3d,Event8,541.0,613.0,543.0,623.0,114.0,114.0,72.0,80.0,42.0,34.0
TF_06_0013.c3d,Event9,599.0,,600.0,,,,,,,
TF_06_0013.c3d,Event10,655.0,,657.0,,,,,,,
TF_06_0014.c3d,Event1,206.0,277.0,199.0,282.0,119.0,118.0,71.0,83.0,48.0,35.0
TF_06_0014.c3d,Event2,263.0,339.0,263.0,326.0,118.0,118.0,76.0,63.0,42.0,55.0
TF_06_0014.c3d,Event3,325.0,396.0,317.0,402.0,110.0,122.0,71.0,85.0,39.0,37.0
TF_06_0014.c3d,Event4,381.0,453.0,381.0,459.0,121.0,114.0,72.0,78.0,49.0,36.0
TF_06_0014.c3d,Event5,435.0,516.0,439.0,519.0,128.0,125.0,81.0,80.0,47.0,45.0
TF_06_0014.c3d,Event6,502.0,577.0,495.0,580.0,118.0,126.0,75.0,85.0,43.0,41.0
TF_06_0014.c3d,Event7,563.0,636.0,564.0,637.0,119.0,118.0,73.0,73.0,46.0,45.0
TF_06_0014.c3d,Event8,620.0,,621.0,,,,,,,
TF_06_0014.c3d,Event9,682.0,,682.0,,,,,,,
TF_06_0015.c3d,Event1,120.0,192.0,115.0,200.0,117.0,126.0,72.0,85.0,45.0,41.0
TF_06_0015.c3d,Event2,177.0,251.0,181.0,256.0,118.0,118.0,74.0,75.0,44.0,43.0
TF_06_0015.c3d,Event3,237.0,310.0,241.0,319.0,121.0,121.0,73.0,78.0,48.0,43.0
TF_06_0015.c3d,Event4,295.0,372.0,299.0,382.0,121.0,121.0,77.0,83.0,44.0,38.0
TF_06_0015.c3d,Event5,358.0,431.0,362.0,439.0,116.0,116.0,73.0,77.0,43.0,39.0
TF_06_0015.c3d,Event6,416.0,487.0,420.0,493.0,115.0,116.0,71.0,73.0,44.0,43.0
TF_06_0015.c3d,Event7,474.0,545.0,478.0,561.0,117.0,117.0,71.0,83.0,46.0,34.0
TF_06_0015.c3d,Event8,531.0,,536.0,,,,,,,
TF_06_0015.c3d,Event9,591.0,,595.0,,,,,,,
TF_07_0013.c3d,Event1,250.0,330.0,252.0,333.0,128.0,131.0,80.0,81.0,48.0,50.0
TF_07_0013.c3d,Event2,314.0,395.0,317.0,,131.0,129.0,81.0,,50.0,
TF_07_0013.c3d,Event3,378.0,460.0,383.0,466.0,135.0,131.0,82.0,83.0,53.0,48.0
TF_07_0013.c3d,Event4,445.0,529.0,446.0,536.0,134.0,135.0,84.0,90.0,50.0,45.0
TF_07_0013.c3d,Event5,513.0,592.0,514.0,601.0,129.0,130.0,79.0,87.0,50.0,43.0
TF_07_0013.c3d,Event6,579.0,,581.0,,,,,,,
TF_07_0013.c3d,Event7,642.0,,644.0,,,,,,,
TF_07_0014.c3d,Event1,308.0,386.0,308.0,392.0,125.0,125.0,78.0,84.0,47.0,41.0
TF_07_0014.c3d,Event2,372.0,444.0,371.0,445.0,125.0,125.0,72.0,74.0,53.0,51.0
TF_07_0014.c3d,Event3,433.0,509.0,433.0,512.0,126.0,126.0,76.0,79.0,50.0,47.0
TF_07_0014.c3d,Event4,497.0,,496.0,,,,,,,
TF_07_0014.c3d,Event5,559.0,,559.0,,,,,,,
TF_07_0015.c3d,Event1,232.0,311.0,234.0,319.0,128.0,126.0,79.0,85.0,49.0,41.0
TF_07_0015.c3d,Event2,298.0,372.0,298.0,380.0,124.0,126.0,74.0,82.0,50.0,44.0
TF_07_0015.c3d,Event3,360.0,436.0,360.0,429.0,126.0,125.0,76.0,69.0,50.0,56.0
TF_07_0015.c3d,Event4,422.0,497.0,424.0,495.0,125.0,122.0,75.0,71.0,50.0,51.0
TF_07_0015.c3d,Event5,486.0,559.0,485.0,567.0,120.0,121.0,73.0,82.0,47.0,39.0
TF_07_0015.c3d,Event6,547.0,,546.0,,,,,,,
TF_07_0015.c3d,Event7,606.0,,606.0,,,,,,,
TF_08_0013.c3d,Event1,44.0,111.0,42.0,106.0,107.0,108.0,67.0,64.0,40.0,44.0
TF_08_0013.c3d,Event2,98.0,165.0,97.0,165.0,105.0,105.0,67.0,68.0,38.0,37.0
TF_08_0013.c3d,Event3,151.0,214.0,150.0,213.0,102.0,102.0,63.0,63.0,39.0,39.0
TF_08_0013.c3d,Event4,203.0,266.0,202.0,271.0,103.0,103.0,63.0,69.0,40.0,34.0
TF_08_0013.c3d,Event5,253.0,319.0,252.0,319.0,105.0,106.0,66.0,67.0,39.0,39.0
TF_08_0013.c3d,Event6,306.0,370.0,305.0,377.0,102.0,103.0,64.0,72.0,38.0,31.0
TF_08_0013.c3d,Event7,358.0,421.0,358.0,417.0,103.0,102.0,63.0,59.0,40.0,43.0
TF_08_0013.c3d,Event8,408.0,472.0,408.0,467.0,105.0,104.0,64.0,59.0,41.0,45.0
TF_08_0013.c3d,Event9,461.0,,460.0,,,,,,,
TF_08_0013.c3d,Event10,513.0,,512.0,,,,,,,
TF_08_0014.c3d,Event1,55.0,121.0,57.0,132.0,106.0,107.0,66.0,75.0,40.0,32.0
TF_08_0014.c3d,Event2,109.0,174.0,113.0,184.0,109.0,105.0,65.0,71.0,44.0,34.0
TF_08_0014.c3d,Event3,161.0,227.0,164.0,227.0,107.0,106.0,66.0,63.0,41.0,43.0
TF_08_0014.c3d,Event4,218.0,282.0,218.0,281.0,103.0,108.0,64.0,63.0,39.0,45.0
TF_08_0014.c3d,Event5,268.0,335.0,270.0,347.0,106.0,108.0,67.0,77.0,39.0,31.0
TF_08_0014.c3d,Event6,321.0,388.0,326.0,387.0,110.0,105.0,67.0,61.0,43.0,44.0
TF_08_0014.c3d,Event7,374.0,440.0,378.0,453.0,106.0,105.0,66.0,75.0,40.0,30.0
TF_08_0014.c3d,Event8,431.0,493.0,431.0,492.0,104.0,104.0,62.0,61.0,42.0,43.0
TF_08_0014.c3d,Event9,480.0,,483.0,,,,,,,
TF_08_0014.c3d,Event10,535.0,,535.0,,,,,,,
TF_08_0015.c3d,Event1,46.0,109.0,47.0,113.0,105.0,106.0,63.0,66.0,42.0,40.0
TF_08_0015.c3d,Event2,99.0,164.0,101.0,173.0,107.0,106.0,65.0,72.0,42.0,34.0
TF_08_0015.c3d,Event3,151.0,218.0,153.0,219.0,110.0,109.0,67.0,66.0,43.0,43.0
TF_08_0015.c3d,Event4,206.0,271.0,207.0,282.0,106.0,107.0,65.0,75.0,41.0,32.0
TF_08_0015.c3d,Event5,261.0,324.0,262.0,337.0,103.0,104.0,63.0,75.0,40.0,29.0
TF_08_0015.c3d,Event6,312.0,375.0,314.0,377.0,107.0,108.0,63.0,63.0,44.0,45.0
TF_08_0015.c3d,Event7,364.0,429.0,366.0,432.0,108.0,108.0,65.0,66.0,43.0,42.0
TF_08_0015.c3d,Event8,419.0,481.0,422.0,483.0,105.0,103.0,62.0,61.0,43.0,42.0
TF_08_0015.c3d,Event9,472.0,534.0,474.0,533.0,104.0,104.0,62.0,59.0,42.0,45.0
TF_08_0015.c3d,Event10,524.0,,525.0,,,,,,,
TF_08_0015.c3d,Event11,576.0,,578.0,,,,,,,
TF_09_0017.c3d,Event1,72.0,141.0,74.0,143.0,112.0,112.0,69.0,69.0,43.0,43.0
TF_09_0017.c3d,Event2,128.0,200.0,130.0,211.0,115.0,115.0,72.0,81.0,43.0,34.0
