Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_09_0029.c3d,Event4,450.0,522.0,459.0,527.0,126.0,119.0,72.0,68.0,54.0,51.0
TF_09_0029.c3d,Event5,512.0,590.0,518.0,597.0,120.0,117.0,78.0,79.0,42.0,38.0
TF_09_0030.c3d,Event4,392.0,453.0,398.0,440.0,106.0,103.0,61.0,42.0,45.0,61.0
TF_09_0030.c3d,Event5,443.0,508.0,449.0,510.0,111.0,107.0,65.0,61.0,46.0,46.0
TF_09_0031.c3d,Event3,333.0,395.0,338.0,395.0,110.0,110.0,62.0,57.0,48.0,53.0
TF_09_0031.c3d,Event4,383.0,458.0,392.0,471.0,113.0,108.0,75.0,79.0,38.0,29.0
TF_09_0031.c3d,Event5,443.0,509.0,448.0,514.0,107.0,105.0,66.0,66.0,41.0,39.0
TF_10_0026.c3d,Event4,374.0,440.0,380.0,443.0,110.0,107.0,66.0,63.0,44.0,44.0
TF_10_0026.c3d,Event5,430.0,498.0,433.0,493.0,107.0,106.0,68.0,60.0,39.0,46.0
TF_10_0026.c3d,Event6,484.0,549.0,487.0,553.0,106.0,104.0,65.0,66.0,41.0,38.0
TF_10_0027.c3d,Event4,395.0,455.0,399.0,460.0,106.0,102.0,60.0,61.0,46.0,41.0
TF_10_0027.c3d,Event5,449.0,513.0,449.0,515.0,107.0,103.0,64.0,66.0,43.0,37.0
TF_10_0027.c3d,Event6,501.0,565.0,501.0,567.0,105.0,103.0,64.0,66.0,41.0,37.0
TF_10_0028.c3d,Event4,386.0,453.0,393.0,450.0,103.0,100.0,67.0,57.0,36.0,43.0
TF_10_0028.c3d,Event5,439.0,502.0,445.0,506.0,100.0,95.0,63.0,61.0,37.0,34.0
TF_10_0028.c3d,Event6,489.0,552.0,493.0,557.0,100.0,98.0,63.0,64.0,37.0,34.0
TF_11_0027.c3d,Event4,385.0,452.0,389.0,455.0,109.0,106.0,67.0,66.0,42.0,40.0
TF_11_0027.c3d,Event5,444.0,505.0,442.0,508.0,103.0,106.0,61.0,66.0,42.0,40.0
TF_11_0027.c3d,Event6,494.0,559.0,495.0,559.0,105.0,105.0,65.0,64.0,40.0,41.0
TF_11_0028.c3d,Event3,334.0,396.0,336.0,392.0,102.0,105.0,62.0,56.0,40.0,49.0
TF_11_0028.c3d,Event4,387.0,448.0,388.0,,105.0,104.0,61.0,,44.0,
TF_11_0028.c3d,Event5,436.0,501.0,441.0,500.0,109.0,103.0,65.0,59.0,44.0,44.0
TF_11_0029.c3d,Event3,335.0,396.0,336.0,404.0,102.0,106.0,61.0,68.0,41.0,38.0
TF_11_0029.c3d,Event4,388.0,446.0,389.0,451.0,99.0,102.0,58.0,62.0,41.0,40.0
TF_11_0029.c3d,Event5,437.0,496.0,442.0,501.0,100.0,97.0,59.0,59.0,41.0,38.0
TF_11_0029.c3d,Event6,487.0,547.0,491.0,549.0,100.0,98.0,60.0,58.0,40.0,40.0
TF_12_0024.c3d,Event5,441.0,512.0,447.0,510.0,119.0,114.0,71.0,63.0,48.0,51.0
TF_12_0024.c3d,Event6,499.0,572.0,506.0,574.0,121.0,108.0,73.0,68.0,48.0,40.0
