Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_05_0010.c3d,Event7,535.0,609.0,535.0,611.0,116.0,117.0,74.0,76.0,42.0,41.0
TF_05_0010.c3d,Event8,594.0,667.0,594.0,661.0,113.0,116.0,73.0,67.0,40.0,49.0
TF_05_0010.c3d,Event9,651.0,,652.0,,,,,,,
TF_05_0010.c3d,Event10,707.0,,710.0,,,,,,,
TF_05_0011.c3d,Event1,185.0,262.0,190.0,260.0,116.0,115.0,77.0,70.0,39.0,45.0
TF_05_0011.c3d,Event2,245.0,317.0,248.0,318.0,115.0,114.0,72.0,70.0,43.0,44.0
TF_05_0011.c3d,Event3,301.0,376.0,305.0,379.0,117.0,115.0,75.0,74.0,42.0,41.0
TF_05_0011.c3d,Event4,360.0,432.0,362.0,435.0,115.0,116.0,72.0,73.0,43.0,43.0
TF_05_0011.c3d,Event5,418.0,492.0,420.0,490.0,115.0,115.0,74.0,70.0,41.0,45.0
TF_05_0011.c3d,Event6,475.0,550.0,478.0,549.0,113.0,114.0,75.0,71.0,38.0,43.0
TF_05_0011.c3d,Event7,533.0,,535.0,,,,,,,
TF_05_0011.c3d,Event8,588.0,,592.0,,,,,,,
TF_05_0012.c3d,Event1,119.0,193.0,120.0,199.0,115.0,116.0,74.0,79.0,41.0,37.0
TF_05_0012.c3d,Event2,178.0,251.0,178.0,247.0,116.0,117.0,73.0,69.0,43.0,48.0
TF_05_0012.c3d,Event3,234.0,308.0,236.0,311.0,116.0,117.0,74.0,75.0,42.0,42.0
TF_05_0012.c3d,Event4,294.0,368.0,295.0,365.0,113.0,116.0,74.0,70.0,39.0,46.0
TF_05_0012.c3d,Event5,350.0,423.0,353.0,429.0,117.0,117.0,73.0,76.0,44.0,41.0
TF_05_0012.c3d,Event6,407.0,482.0,411.0,481.0,116.0,116.0,75.0,70.0,41.0,46.0
TF_05_0012.c3d,Event7,467.0,538.0,470.0,540.0,114.0,114.0,71.0,70.0,43.0,44.0
TF_05_0012.c3d,Event8,523.0,597.0,527.0,595.0,114.0,114.0,74.0,68.0,40.0,46.0
TF_05_0012.c3d,Event9,581.0,,584.0,,,,,,,
TF_05_0012.c3d,Event10,637.0,,641.0,,,,,,,
TF_06_0013.c3d,Event1,122.0,201.0,120.0,204.0,124.0,125.0,79.0,84.0,45.0,41.0
TF_06_0013.c3d,Event2,185.0,263.0,184.0,259.0,122.0,121.0,78.0,75.0,44.0,46.0
TF_06_0013.c3d,Event3,246.0,322.0,245.0,323.0,121.0,119.0,76.0,78.0,45.0,41.0
TF_06_0013.c3d,Event4,307.0,382.0,305.0,378.0,119.0,119.0,75.0,73.0,44.0,46.0
TF_06_0013.c3d,Event5,367.0,441.0,364.0,437.0,118.0,120.0,74.0,73.0,44.0,47.0
